United States,Total,Change in marital status,To establish own household,Other family reason,New job or job transfer,To look for work or lost job,To be closer to work/easier commute,Retired,Other job related reason,"Wanted own home, not rent",Wanted new or better home/ apartment,Wanted better neighborhood /less crime,Wanted cheaper housing,Other housing reason,To attend or leave college,Change of climate,Health reasons,Other reasons
.Nonfamily householder,"6,211",294,"1,064",486,516,127,398,74,90,266,715,213,645,551,343,50,174,202
.Secondary individual in group quarters,9,3,-,-,-,-,-,-,-,-,-,-,2,-,4,-,-,0
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,0
.Not a high school graduate,"3,012",171,292,379,107,110,112,33,37,102,502,159,470,302,24,12,105,92
.High school graduate,"6,372",449,725,836,313,224,236,65,109,247,972,306,791,588,27,44,181,259
.Some college or AA degree,"5,385",469,553,603,415,143,242,32,53,307,817,225,549,464,69,55,117,272
.Bachelor's degree,"4,169",335,416,313,566,109,232,31,59,289,611,146,326,302,128,48,52,205
.Prof. or graduate degree,"1,852",148,105,150,321,51,89,35,53,139,252,49,132,149,58,17,21,84
.Persons age 1-24,"16,749","1,184","2,121","2,127","1,207",332,679,2,177,650,"2,645",645,"1,798","1,470",725,60,88,838
MARITAL STATUS,,,,,,,,,,,,,,,,,,0
".Married, spouse present","9,490",876,862,855,"1,130",233,338,100,146,701,"1,636",348,875,752,106,84,155,290
".Married, spouse absent",625,51,57,101,67,22,32,5,11,10,67,37,79,23,10,-,20,33
.Widowed,740,41,58,130,25,16,17,38,2,22,79,33,63,75,4,11,95,30
.Divorced,"3,454",375,332,480,156,88,136,23,47,116,463,135,431,344,21,27,103,179
.Separated,"1,241",307,131,151,62,31,54,3,22,16,146,31,137,80,6,3,23,38
.Never married,"13,378",458,"1,899","1,509",828,457,739,26,148,440,"1,815",539,"1,521","1,141",820,81,119,836
.Persons age 1-14,"8,612",647,873,"1,183",662,122,275,2,111,429,"1,593",408,961,858,63,31,50,344
NATIVITY,,,,,,,,,,,,,,,,,,0
 .Native,"32,198","2,447","3,724","3,852","2,441",740,"1,360",178,381,"1,532","4,835","1,323","3,394","2,866",853,226,538,"1,508"
 .Foreign born,"5,342",309,487,557,488,231,230,20,107,202,965,207,673,409,178,10,27,243
  ..Naturalized U.S. citizen,"1,292",89,126,119,90,35,55,10,26,73,258,60,145,103,35,2,5,62
  ..Not a U.S. citizen,"4,049",220,361,437,397,196,175,10,81,129,707,147,528,306,143,8,22,182
TENURE,,,,,,,,,,,,,,,,,,0
.In an owner-occupied housing unit,"10,770",965,"1,038","1,664",752,319,238,109,137,"1,603","1,411",364,511,555,123,84,218,680
.In a renter-occupied housing unit,"26,079","1,727","3,118","2,620","2,060",635,"1,336",86,343,131,"4,343","1,167","3,462","2,633",893,148,340,"1,037"
.In a no cash renter-occupied housing unit,691,64,55,125,116,17,17,3,8,-,46,-,94,86,15,4,6,35
POVERTY STATUS,,,,,,,,,,,,,,,,,,0
.Below 100% of poverty,"10,096",715,"1,354","1,251",460,339,283,23,88,123,"1,464",475,"1,361","1,064",436,31,129,500
.100% to 149% of poverty,"4,578",262,544,621,216,103,207,29,54,138,845,166,537,430,122,4,77,221
.150% of poverty and above,"22,865","1,778","2,312","2,537","2,252",528,"1,100",145,346,"1,473","3,491",890,"2,169","1,781",473,201,359,"1,029"
