Table with row headers in column A and column headers in rows 7 through 8.,,,,,,,,,,,,
"Table 13.  Migration Flows Between Regions, by Sex, Age, Race and Hispanic Origin, Relationship to Householder, Educational Attainment, Marital Status, Nativity, Tenure, and Poverty Status:  2013 to 2014",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
.Never married,40,61,42,23,94,64,90,124,74,50,64,98
.Persons age 1-14,5,48,28,14,86,32,31,61,67,23,42,76
NATIVITY,,,,,,,,,,,,
 .Native,61,242,119,52,301,171,170,249,248,102,170,298
 .Foreign born,11,26,10,8,23,10,29,37,22,14,35,51
  ..Naturalized U.S. citizen,3,11,5,3,8,-,8,10,9,2,6,9
  ..Not a U.S. citizen,8,15,5,5,15,10,21,27,12,12,29,42
TENURE,,,,,,,,,,,,
.In an owner-occupied housing unit,31,82,38,13,60,38,47,76,31,28,58,89
.In a renter-occupied housing unit,35,181,91,47,260,142,145,206,231,82,137,249
.In a no cash renter-occupied housing unit,6,5,-,1,4,2,6,5,8,6,10,11
POVERTY STATUS,,,,,,,,,,,,
.Below 100% of poverty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
.100% to 149% of poverty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
.150% of poverty and above,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
"""NA"" Not Available. The source of data for this table, the CPS ASEC sample of 98,000 addresses, is not the official source of income and poverty estimates. The official source is the approximately 68,000 addresses that were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC.",,,,,,,,,,,,
"1/  Includes American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, and Two or More Races.",,,,,,,,,,,,
2/  Hispanics or Latinos may be of any race.,,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2014 Annual Social and Economic Supplement",,,,,,,,,,,,
Internet Release Date: ,,,,,,,,,,,,
,,,,,,,,,,,,
"Note: The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. All of the approximately 98,000 addresses were eligible to receive the redesigned set of health insurance coverage questions. The redesigned income questions were implemented to a subsample of these 98,000 addresses using a probability split panel design. Approximately 68,000 addresses were eligible to receive a set of income questions similar to those used in the 2013 CPS ASEC and the remaining 30,000 addresses were eligible to receive the redesigned income questions. The source of data for this table is the CPS ASEC sample of 98,000 addresses. ",,,,,,,,,,,,
